PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/kick.01__0	kick.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kick_40030200	Agent	Kick_40030200	https://w3id.org/framester/vn/vn31/data/Kick_40030200
https://w3id.org/framester/pb/pbdata/kick.01__0	kick.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kick_49000000	Agent	Kick_49000000	https://w3id.org/framester/vn/vn31/data/Kick_49000000
https://w3id.org/framester/pb/pbdata/kick.01__1	kick.01	ARG1	https://w3id.org/framester/vn/vn31/data/Co-Patient.kick_23020000	Co-Patient	Kick_23020000	https://w3id.org/framester/vn/vn31/data/Kick_23020000
https://w3id.org/framester/pb/pbdata/kick.01__1	kick.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.kick_18020000	Patient	Kick_18020000	https://w3id.org/framester/vn/vn31/data/Kick_18020000
https://w3id.org/framester/pb/pbdata/kick.01__1	kick.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.kick_23020000	Patient	Kick_23020000	https://w3id.org/framester/vn/vn31/data/Kick_23020000
https://w3id.org/framester/pb/pbdata/kick.01__1	kick.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.kick_40030200	Patient	Kick_40030200	https://w3id.org/framester/vn/vn31/data/Kick_40030200
https://w3id.org/framester/pb/pbdata/kick.01__1	kick.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.kick_49000000	Patient	Kick_49000000	https://w3id.org/framester/vn/vn31/data/Kick_49000000
https://w3id.org/framester/pb/pbdata/kick.01__1	kick.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.kick_40030200	Theme	Kick_40030200	https://w3id.org/framester/vn/vn31/data/Kick_40030200
https://w3id.org/framester/pb/pbdata/kick.01__2	kick.01	ARG2	https://w3id.org/framester/vn/vn31/data/Result.kick_18020000	Result	Kick_18020000	https://w3id.org/framester/vn/vn31/data/Kick_18020000
https://w3id.org/framester/pb/pbdata/kick.01__LOC	kick.01	ARG-LOC	https://w3id.org/framester/vn/vn31/data/Location.kick_18020000	Location	Kick_18020000	https://w3id.org/framester/vn/vn31/data/Kick_18020000
https://w3id.org/framester/pb/pbdata/kick.01__LOC	kick.01	ARG-LOC	https://w3id.org/framester/vn/vn31/data/Recipient.kick_40030200	Recipient	Kick_40030200	https://w3id.org/framester/vn/vn31/data/Kick_40030200
https://w3id.org/framester/pb/pbdata/kidnap.01__0	kidnap.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kidnap_10050000	Agent	Kidnap_10050000	https://w3id.org/framester/vn/vn31/data/Kidnap_10050000
https://w3id.org/framester/pb/pbdata/kidnap.01__1	kidnap.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.kidnap_10050000	Theme	Kidnap_10050000	https://w3id.org/framester/vn/vn31/data/Kidnap_10050000
https://w3id.org/framester/pb/pbdata/kidnap.01__LOC	kidnap.01	ARG-LOC	https://w3id.org/framester/vn/vn31/data/Source.kidnap_10050000	Source	Kidnap_10050000	https://w3id.org/framester/vn/vn31/data/Kidnap_10050000
https://w3id.org/framester/pb/pbdata/kidnap.01__PNC	kidnap.01	ARG-PNC	https://w3id.org/framester/vn/vn31/data/Beneficiary.kidnap_10050000	Beneficiary	Kidnap_10050000	https://w3id.org/framester/vn/vn31/data/Kidnap_10050000
https://w3id.org/framester/pb/pbdata/kill.01__0	kill.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kill_42030000	Agent	Kill_42030000	https://w3id.org/framester/vn/vn31/data/Kill_42030000
https://w3id.org/framester/pb/pbdata/kill.01__1	kill.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.kill_42030000	Patient	Kill_42030000	https://w3id.org/framester/vn/vn31/data/Kill_42030000
https://w3id.org/framester/pb/pbdata/kill.01__2	kill.01	ARG2	https://w3id.org/framester/vn/vn31/data/Instrument.kill_42030000	Instrument	Kill_42030000	https://w3id.org/framester/vn/vn31/data/Kill_42030000
https://w3id.org/framester/pb/pbdata/kindle.01__0	kindle.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kindle_45040000	Agent	Kindle_45040000	https://w3id.org/framester/vn/vn31/data/Kindle_45040000
https://w3id.org/framester/pb/pbdata/kindle.01__1	kindle.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.kindle_45040000	Patient	Kindle_45040000	https://w3id.org/framester/vn/vn31/data/Kindle_45040000
https://w3id.org/framester/pb/pbdata/kiss.01__0	kiss.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kiss_36020000	Agent	Kiss_36020000	https://w3id.org/framester/vn/vn31/data/Kiss_36020000
https://w3id.org/framester/pb/pbdata/kiss.01__1	kiss.01	ARG1	https://w3id.org/framester/vn/vn31/data/Co-Agent.kiss_36020000	Co-Agent	Kiss_36020000	https://w3id.org/framester/vn/vn31/data/Kiss_36020000
https://w3id.org/framester/pb/pbdata/knead.01__0	knead.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.knead_26050000	Agent	Knead_26050000	https://w3id.org/framester/vn/vn31/data/Knead_26050000
https://w3id.org/framester/pb/pbdata/knead.01__1	knead.01	ARG1	https://w3id.org/framester/vn/vn31/data/Material.knead_26050000	Material	Knead_26050000	https://w3id.org/framester/vn/vn31/data/Knead_26050000
