pbrole	pbrolelabel	pbrolesup	varole
pbdata:submerge-01__0	pblocalrole:placer	pbschema:ARG0	va:Agent
pbdata:submerge-01__0	pblocalrole:placer	pbschema:ARG-PAG	va:Agent
pbdata:submerge-01__1	pblocalrole:thing_being_put_under_water	pbschema:ARG1	va:Patient
pbdata:submerge-01__1	pblocalrole:thing_being_put_under_water	pbschema:ARG-PPT	va:Patient
pbdata:submerge-01__2	pblocalrole:location_or_fluid	pbschema:ARG2	va:Destination
pbdata:submerge-01__2	pblocalrole:location_or_fluid	pbschema:ARG-LOC	va:Destination
pbdata:submit-01__0	pblocalrole:giver	pbschema:ARG0	va:Agent
pbdata:submit-01__0	pblocalrole:giver	pbschema:ARG-PAG	va:Agent
pbdata:submit-01__1	pblocalrole:given	pbschema:ARG1	va:Theme
pbdata:submit-01__1	pblocalrole:given	pbschema:ARG-PPT	va:Theme
pbdata:submit-01__2	pblocalrole:given-to	pbschema:ARG2	va:Recipient
pbdata:submit-01__2	pblocalrole:given-to	pbschema:ARG-GOL	va:Recipient
pbdata:submit-01__3	pblocalrole:purpose	pbschema:ARG3	va:Goal
pbdata:submit-01__3	pblocalrole:purpose	pbschema:ARG-PRP	va:Goal
pbdata:submit-02__0	pblocalrole:submissive_entity	pbschema:ARG0	
pbdata:submit-02__0	pblocalrole:submissive_entity	pbschema:ARG-PAG	
pbdata:submit-02__1	pblocalrole:given__explicit_mention_of_will	pbschema:ARG1	
pbdata:submit-02__1	pblocalrole:given__explicit_mention_of_will	pbschema:ARG-PPT	
pbdata:submit-02__2	pblocalrole:dominant_entity_submitted_to	pbschema:ARG2	
pbdata:submit-02__2	pblocalrole:dominant_entity_submitted_to	pbschema:ARG-GOL	
pbdata:suboptimal-01__1	pblocalrole:thing_that_is_less_than_ideal	pbschema:ARG1	
pbdata:suboptimal-01__1	pblocalrole:thing_that_is_less_than_ideal	pbschema:ARG-PPT	
pbdata:suboptimal-01__2	pblocalrole:situation	pbschema:ARG2	
pbdata:suboptimal-01__2	pblocalrole:situation	pbschema:ARG-GOL	
pbdata:subordinate-01__0	pblocalrole:cause	pbschema:ARG0	va:Agent
pbdata:subordinate-01__0	pblocalrole:cause	pbschema:ARG-PAG	va:Agent
pbdata:subordinate-01__1	pblocalrole:subordinate_thing	pbschema:ARG1	va:Patient
pbdata:subordinate-01__1	pblocalrole:subordinate_thing	pbschema:ARG-PPT	va:Patient
pbdata:subordinate-01__2	pblocalrole:superordinate_thing	pbschema:ARG2	va:Cause
pbdata:subordinate-01__2	pblocalrole:superordinate_thing	pbschema:ARG-MNR	va:Cause
pbdata:suborn-01__0	pblocalrole:inciter	pbschema:ARG0	
pbdata:suborn-01__0	pblocalrole:inciter	pbschema:ARG-PAG	
pbdata:suborn-01__1	pblocalrole:crime	pbschema:ARG1	
pbdata:suborn-01__1	pblocalrole:crime	pbschema:ARG-PRD	
pbdata:suborn-01__2	pblocalrole:committer_of_crime	pbschema:ARG2	
pbdata:suborn-01__2	pblocalrole:committer_of_crime	pbschema:ARG-PPT	
pbdata:suborn-02__0	pblocalrole:obtainer_of_testimony	pbschema:ARG0	
pbdata:suborn-02__0	pblocalrole:obtainer_of_testimony	pbschema:ARG-PAG	
pbdata:suborn-02__1	pblocalrole:testimony	pbschema:ARG1	
pbdata:suborn-02__1	pblocalrole:testimony	pbschema:ARG-PPT	
pbdata:suborn-02__2	pblocalrole:one_giving_testimony	pbschema:ARG2	
pbdata:suborn-02__2	pblocalrole:one_giving_testimony	pbschema:ARG-DIR	
pbdata:subpoena-01__0	pblocalrole:summoner	pbschema:ARG0	va:Agent
pbdata:subpoena-01__0	pblocalrole:summoner	pbschema:ARG-PAG	va:Agent
pbdata:subpoena-01__1	pblocalrole:entity_subpoenaed	pbschema:ARG1	va:Patient
pbdata:subpoena-01__1	pblocalrole:entity_subpoenaed	pbschema:ARG-PPT	va:Patient
pbdata:subsample-01__0	pblocalrole:sample-taker	pbschema:ARG0	
pbdata:subsample-01__0	pblocalrole:sample-taker	pbschema:ARG-CAU	
pbdata:subsample-01__1	pblocalrole:thing_subsampled	pbschema:ARG1	
pbdata:subsample-01__1	pblocalrole:thing_subsampled	pbschema:ARG-PPT	
pbdata:subsample-01__2	pblocalrole:new_size	pbschema:ARG2	
pbdata:subsample-01__2	pblocalrole:new_size	pbschema:ARG-VSP	
pbdata:subsaturation-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:subsaturation-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:subsaturation-01__1	pblocalrole:location	pbschema:ARG1	
pbdata:subsaturation-01__1	pblocalrole:location	pbschema:ARG-GOL	
pbdata:subsaturation-01__2	pblocalrole:liquid	pbschema:ARG2	
pbdata:subsaturation-01__2	pblocalrole:liquid	pbschema:ARG-PPT	
pbdata:subscribe-01__0	pblocalrole:subscriber	pbschema:ARG0	va:Agent
pbdata:subscribe-01__0	pblocalrole:subscriber	pbschema:ARG-PAG	va:Agent
pbdata:subscribe-01__1	pblocalrole:magazine_or_belief_system	pbschema:ARG1	va:Theme
pbdata:subscribe-01__1	pblocalrole:magazine_or_belief_system	pbschema:ARG-PPT	va:Theme
